Query	B+-Tree	Skan	Adaptive Merging	extendend Adaptive Merging	PCM Adaptive Merging
720	0.009001	0.070703	0.010531	0.009524	0.009239
721	0.009001	0.070703	0.010506	0.009514	0.009239
722	0.009001	0.070703	0.010576	0.009555	0.009239
723	0.009001	0.070703	0.010613	0.009569	0.009238
724	0.009001	0.070703	0.010557	0.009535	0.009239
725	0.009001	0.070703	0.010287	0.009411	0.009180
726	0.009001	0.070703	0.010444	0.009488	0.009209
727	0.009001	0.070703	0.010362	0.009442	0.009209
728	0.009001	0.070703	0.010237	0.009390	0.009199
729	0.009001	0.070703	0.010519	0.009519	0.009239
730	0.009001	0.070703	0.010381	0.009462	0.009209
731	0.009001	0.070703	0.010494	0.009508	0.009238
732	0.009001	0.070703	0.010374	0.009447	0.009209
733	0.009001	0.070703	0.010387	0.009452	0.009209
734	0.009001	0.070703	0.010468	0.009498	0.009209
735	0.009001	0.070703	0.010394	0.009467	0.009209
736	0.009001	0.070703	0.010349	0.009437	0.009209
737	0.009001	0.070703	0.010336	0.009431	0.009179
738	0.009001	0.070703	0.010280	0.009397	0.009180
739	0.009001	0.070703	0.010356	0.009451	0.009199
740	0.009001	0.070703	0.010287	0.009411	0.009180
741	0.009001	0.070703	0.010336	0.009431	0.009179
742	0.009001	0.070703	0.010324	0.009426	0.009179
743	0.009001	0.070703	0.010519	0.009519	0.009239
744	0.009001	0.070703	0.010205	0.009365	0.009179
745	0.009001	0.070703	0.010349	0.009437	0.009209
746	0.009001	0.070703	0.010117	0.009329	0.009151
747	0.009001	0.070703	0.010255	0.009386	0.009180
748	0.009001	0.070703	0.010205	0.009365	0.009179
749	0.009001	0.070703	0.010287	0.009411	0.009180
750	0.009001	0.070703	0.010242	0.009381	0.009180
751	0.009001	0.070703	0.010287	0.009411	0.009180
752	0.009001	0.070703	0.010332	0.009442	0.009200
753	0.009001	0.070703	0.010123	0.009320	0.009151
754	0.009001	0.070703	0.010287	0.009411	0.009180
755	0.009001	0.070703	0.010217	0.009370	0.009179
756	0.009001	0.070703	0.010073	0.009299	0.009151
757	0.009001	0.070703	0.010155	0.009345	0.009151
758	0.009001	0.070703	0.010179	0.009355	0.009151
759	0.009001	0.070703	0.010300	0.009417	0.009180
760	0.009001	0.070703	0.010098	0.009309	0.009151
761	0.009001	0.070703	0.010300	0.009417	0.009180
762	0.009001	0.070703	0.010047	0.009288	0.009121
763	0.009001	0.070703	0.010085	0.009304	0.009151
764	0.009001	0.070703	0.010098	0.009309	0.009151
765	0.009001	0.070703	0.010179	0.009355	0.009151
766	0.009001	0.070703	0.010162	0.009360	0.009171
767	0.009001	0.070703	0.009953	0.009238	0.009121
768	0.009001	0.070703	0.010274	0.009406	0.009180
769	0.009001	0.070703	0.010047	0.009288	0.009121
770	0.009001	0.070703	0.010073	0.009299	0.009151
771	0.009001	0.070703	0.010168	0.009350	0.009151
772	0.009001	0.070703	0.010230	0.009376	0.009180
773	0.009001	0.070703	0.010155	0.009345	0.009151
774	0.009001	0.070703	0.009953	0.009238	0.009121
775	0.009001	0.070703	0.010117	0.009329	0.009151
776	0.009001	0.070703	0.009928	0.009227	0.009121
777	0.009001	0.070703	0.010060	0.009294	0.009151
778	0.009001	0.070703	0.010047	0.009288	0.009121
779	0.009001	0.070703	0.010098	0.009309	0.009151
780	0.009001	0.070703	0.010060	0.009294	0.009151
781	0.009001	0.070703	0.009960	0.009252	0.009121
782	0.009001	0.070703	0.010085	0.009304	0.009151
783	0.009001	0.070703	0.010199	0.009375	0.009171
784	0.009001	0.070703	0.009998	0.009268	0.009122
785	0.009001	0.070703	0.009871	0.009191	0.009091
786	0.009001	0.070703	0.009854	0.009197	0.009092
787	0.009001	0.070703	0.009998	0.009268	0.009122
788	0.009001	0.070703	0.010047	0.009288	0.009121
789	0.009001	0.070703	0.010085	0.009304	0.009151
790	0.009001	0.070703	0.010011	0.009273	0.009122
791	0.009001	0.070703	0.009903	0.009217	0.009092
792	0.009001	0.070703	0.010047	0.009288	0.009121
793	0.009001	0.070703	0.010047	0.009288	0.009121
794	0.009001	0.070703	0.010004	0.009259	0.009122
795	0.009001	0.070703	0.009903	0.009217	0.009092
796	0.009001	0.070703	0.009903	0.009217	0.009091
797	0.009001	0.070703	0.009973	0.009258	0.009121
798	0.009001	0.070703	0.010011	0.009273	0.009122
799	0.009001	0.070703	0.009903	0.009217	0.009091
800	0.009001	0.070703	0.009953	0.009238	0.009121
801	0.009001	0.070703	0.009879	0.009207	0.009092
802	0.009001	0.070703	0.009916	0.009222	0.009121
803	0.009001	0.070703	0.009966	0.009243	0.009122
804	0.009001	0.070703	0.009980	0.009272	0.009141
805	0.009001	0.070703	0.009890	0.009211	0.009091
