Query	B+-Tree	Skan	Adaptive Merging	extendend Adaptive Merging	PCM Adaptive Merging
440	0.056002	0.086484	0.159422	0.088139	0.076533
441	0.056002	0.086484	0.161195	0.088523	0.076762
442	0.056002	0.086484	0.159190	0.087904	0.076415
443	0.056002	0.086484	0.160695	0.088413	0.076586
444	0.056002	0.086484	0.157048	0.087259	0.075902
445	0.056002	0.086484	0.155332	0.086703	0.075677
446	0.056002	0.086484	0.158223	0.087602	0.076072
447	0.056002	0.086484	0.158695	0.087799	0.076246
448	0.056002	0.086484	0.150672	0.085146	0.074532
449	0.056002	0.086484	0.151024	0.085219	0.074701
450	0.056002	0.086484	0.150647	0.085232	0.074648
451	0.056002	0.086484	0.148767	0.084457	0.074188
452	0.056002	0.086484	0.151424	0.085400	0.074704
453	0.056002	0.086484	0.140403	0.082726	0.072984
454	0.056002	0.086484	0.141370	0.083027	0.073328
455	0.056002	0.086484	0.144362	0.083043	0.073329
456	0.056002	0.086484	0.147846	0.084257	0.074133
457	0.056002	0.086484	0.139909	0.082621	0.072985
458	0.056002	0.086484	0.141298	0.083012	0.073156
459	0.056002	0.086484	0.148015	0.084202	0.074018
460	0.056002	0.086484	0.148739	0.084543	0.074187
461	0.056002	0.086484	0.139937	0.082535	0.072986
462	0.056002	0.086484	0.138807	0.082293	0.072764
463	0.056002	0.086484	0.136356	0.081391	0.072127
464	0.056002	0.086484	0.136284	0.081376	0.072126
465	0.056002	0.086484	0.136356	0.081391	0.072127
466	0.056002	0.086484	0.136356	0.081391	0.072127
467	0.056002	0.086484	0.138504	0.082042	0.072646
468	0.056002	0.086484	0.137912	0.082007	0.072591
469	0.056002	0.086484	0.133956	0.080597	0.071784
470	0.056002	0.086484	0.130990	0.079682	0.071100
471	0.056002	0.086484	0.130661	0.079517	0.071098
472	0.056002	0.086484	0.129766	0.079231	0.070755
473	0.056002	0.086484	0.130661	0.079517	0.071098
474	0.056002	0.086484	0.124142	0.077372	0.069726
475	0.056002	0.086484	0.127956	0.078751	0.070532
476	0.056002	0.086484	0.128190	0.078707	0.070584
477	0.056002	0.086484	0.135208	0.080962	0.071960
478	0.056002	0.086484	0.128871	0.078945	0.070583
479	0.056002	0.086484	0.125295	0.077807	0.069900
480	0.056002	0.086484	0.124686	0.077585	0.069730
481	0.056002	0.086484	0.126471	0.078151	0.070069
482	0.056002	0.086484	0.124869	0.077712	0.069843
483	0.056002	0.086484	0.125038	0.077658	0.069899
484	0.056002	0.086484	0.124428	0.077435	0.069729
485	0.056002	0.086484	0.124000	0.077341	0.069554
486	0.056002	0.086484	0.119386	0.075885	0.068698
487	0.056002	0.086484	0.120238	0.076069	0.068871
488	0.056002	0.086484	0.120210	0.076155	0.068870
489	0.056002	0.086484	0.115905	0.074672	0.068012
490	0.056002	0.086484	0.119037	0.075812	0.068648
491	0.056002	0.086484	0.121133	0.076355	0.069043
492	0.056002	0.086484	0.118777	0.075663	0.068529
493	0.056002	0.086484	0.120990	0.076324	0.069042
494	0.056002	0.086484	0.115482	0.074582	0.067843
495	0.056002	0.086484	0.113648	0.073909	0.067499
496	0.056002	0.086484	0.117409	0.075180	0.068182
497	0.056002	0.086484	0.115905	0.074672	0.068012
498	0.056002	0.086484	0.116566	0.075002	0.068133
499	0.056002	0.086484	0.115691	0.074624	0.067839
500	0.056002	0.086484	0.111220	0.073201	0.066984
501	0.056002	0.086484	0.110819	0.073020	0.066810
502	0.056002	0.086484	0.114938	0.074370	0.067668
503	0.056002	0.086484	0.113104	0.073696	0.067324
504	0.056002	0.086484	0.111434	0.073248	0.066985
505	0.056002	0.086484	0.109100	0.072464	0.066467
506	0.056002	0.086484	0.107387	0.071914	0.066129
507	0.056002	0.086484	0.109575	0.072661	0.066759
508	0.056002	0.086484	0.105525	0.071326	0.065784
509	0.056002	0.086484	0.105553	0.071240	0.065786
